state,district,year,month,avg_groundwater_level,monthly_avg_rainfall,rain_lag_1,rain_lag_3,rain_lag_6,cumulative_rain_3m,monthly_avg_soil_moisture_15cm,soil_moisture_lag_1,soil_moisture_lag_3,month_sin,month_cos,groundwater_lag_1,groundwater_lag_3,groundwater_lag_6,groundwater_rolling_3,groundwater_rolling_6
Punjab,Amritsar,2020.0,1.0,14.687755102040818,1.6701740393870967,1.4828805337419355,0.3127651332258064,5.463484736806452,4.188509136962365,19.30399736333333,17.257171148387098,15.458696096774194,0.49999999999999994,0.8660254037844387,14.687755102040818,14.687755102040818,14.687755102040818,14.687755102040818,14.687755102040818
Punjab,Amritsar,2020.0,2.0,14.687755102040818,0.5708741783448276,1.6701740393870967,1.0354545638333332,5.202821604225806,3.72392875147386,17.466802755172413,19.30399736333333,15.235815326666666,0.8660254037844386,0.5000000000000001,14.687755102040818,14.687755102040818,14.687755102040818,14.687755102040818,14.687755102040818
Punjab,Amritsar,2020.0,3.0,14.687755102040818,2.3037904082258063,0.5708741783448276,1.4828805337419355,2.8917934933,4.5448386259577305,19.00748180645161,17.466802755172413,17.257171148387098,1.0,6.123233995736766e-17,14.687755102040818,14.687755102040818,14.687755102040818,14.687755102040818,14.687755102040818
Punjab,Amritsar,2020.0,4.0,14.687755102040818,0.7835045406666666,2.3037904082258063,1.6701740393870967,0.3127651332258064,3.6581691272373007,19.69057872333333,19.00748180645161,19.30399736333333,0.8660254037844387,-0.4999999999999998,14.687755102040818,14.687755102040818,14.687755102040818,14.687755102040818,14.687755102040818
Punjab,Amritsar,2020.0,5.0,15.507837837837837,0.5400194929677419,0.7835045406666666,0.5708741783448276,1.0354545638333332,3.627314441860215,17.56686610967742,19.69057872333333,17.466802755172413,0.49999999999999994,-0.8660254037844387,14.687755102040818,14.687755102040818,14.687755102040818,14.96111601397316,14.824435558006988
Punjab,Amritsar,2020.0,6.0,15.507837837837837,1.9366333197333327,0.5400194929677419,2.3037904082258063,1.4828805337419355,3.2601573533677417,14.398461436666668,17.56686610967742,19.00748180645161,1.2246467991473532e-16,-1.0,15.507837837837837,14.687755102040818,14.687755102040818,15.234476925905497,14.961116013973156
Punjab,Amritsar,2020.0,7.0,15.507837837837837,4.116551976677419,1.9366333197333327,0.7835045406666666,1.6701740393870967,6.593204789378494,17.520107073333335,14.398461436666668,19.69057872333333,-0.4999999999999997,-0.8660254037844388,15.507837837837837,14.687755102040818,14.687755102040818,15.507837837837837,15.097796469939327
Punjab,Amritsar,2020.0,8.0,15.507837837837837,1.6701740393870967,4.116551976677419,0.5400194929677419,0.5708741783448276,7.723359335797849,19.871097913333333,17.520107073333335,17.56686610967742,-0.8660254037844385,-0.5000000000000004,15.507837837837837,15.507837837837837,14.687755102040818,15.507837837837837,15.234476925905497
Punjab,Amritsar,2020.0,9.0,15.507837837837837,0.6123551214999999,1.6701740393870967,1.9366333197333327,2.3037904082258063,6.399081137564516,14.976791265517242,19.871097913333333,14.398461436666668,-1.0,-1.8369701987210297e-16,15.507837837837837,15.507837837837837,14.687755102040818,15.507837837837837,15.371157381871667
Punjab,Amritsar,2020.0,10.0,15.507837837837837,2.26131793567742,0.6123551214999999,4.116551976677419,0.7835045406666666,4.543847096564516,9.505067648387096,14.976791265517242,17.520107073333335,-0.8660254037844386,0.5000000000000001,15.507837837837837,15.507837837837837,14.687755102040818,15.507837837837837,15.507837837837837
